page_id,thread,user_id,is_attacker,is_target
46643.0,1,21499709.0,1,0
47159.0,3,6479630.0,1,0
47159.0,3,1590599.0,0,1
47741.0,3,7852030.0,1,0
49394.0,0,4656953.0,0,1
49394.0,0,14952178.0,0,1
49394.0,0,4079642.0,0,1
49394.0,0,3160007.0,1,0
50391.0,5,20834545.0,1,0
50391.0,5,11192702.0,0,1
50492.0,1,491706.0,0,1
50492.0,1,3606755.0,0,1
50492.0,1,22793918.0,1,0
50514.0,8,12107077.0,1,0
53128.0,1,628986.0,1,0
53128.0,1,7310206.0,0,1
53128.0,1,115543.0,0,1
54704.0,2,113936.0,1,0
54704.0,2,3065107.0,0,1
54704.0,2,16559.0,0,1
55324.0,38,1576964.0,0,1
55324.0,38,12107077.0,0,1
55324.0,38,1658152.0,0,1
55324.0,38,18866445.0,0,1
55324.0,38,19549390.0,0,1
55324.0,38,115543.0,0,1
55324.0,38,19818769.0,0,1
55324.0,38,617587.0,0,1
55324.0,38,2299668.0,0,1
55324.0,38,25923861.0,0,1
55324.0,38,190358.0,0,1
55324.0,38,17752503.0,0,1
55324.0,38,826010.0,0,1
55324.0,38,3358555.0,0,1
55324.0,38,1369916.0,0,1
55324.0,38,10098973.0,0,1
55324.0,38,8520318.0,1,0
55324.0,38,6999039.0,0,1
56088.0,29,3066464.0,1,0
56088.0,30,3066464.0,1,0
56088.0,30,15250126.0,0,1
57594.0,5,20936698.0,1,0
57594.0,5,18630127.0,0,1
59492.0,1,16460046.0,1,0
59492.0,1,4967956.0,0,1
59492.0,1,4045206.0,0,1
59492.0,1,7131173.0,0,1
59492.0,1,11243047.0,0,1
59492.0,1,11112747.0,0,1
59492.0,1,12960309.0,0,1
59492.0,1,1062840.0,0,1
59492.0,1,19834941.0,0,1
59492.0,1,145855.0,0,1
59492.0,1,7869631.0,0,1
59492.0,1,834113.0,0,1
59492.0,1,372290.0,0,1
59492.0,1,4280259.0,0,1
59492.0,1,11916996.0,0,1
59492.0,1,10006598.0,0,1
59492.0,1,5519174.0,0,1
59492.0,1,305478.0,0,1
59492.0,1,16632916.0,0,1
59492.0,1,4964344.0,0,1
59492.0,1,626138.0,0,1
59492.0,1,2270560.0,0,1
59492.0,1,8807014.0,0,1
59492.0,1,6350955.0,1,0
59492.0,1,921080.0,0,1
59492.0,1,10612090.0,0,1
61156.0,4,7486873.0,1,0
63917.0,20,22988284.0,1,0
